time,load forecast
2017-08-08,745781.00
2017-08-09,718772.00
2017-08-10,568531.00
2017-08-11,713202.00
2017-08-12,669510.00
2017-08-13,591129.00
2017-08-14,650483.00
2017-08-15,612279.00
2017-08-16,718830.00
2017-08-17,725881.00
2017-08-18,726590.00
2017-08-19,664035.00
2017-08-20,614658.00
2017-08-21,741356.00
2017-08-22,771961.00
2017-08-23,758787.00
2017-08-24,761417.00
2017-08-25,752718.00
2017-08-26,681367.00
2017-08-27,628212.00
2017-08-28,724055.00
2017-08-29,729236.00
2017-08-30,717421.00
2017-08-31,701401.00
2017-09-01,777758.00
2017-09-02,760326.00
2017-09-03,694024.00
2017-09-04,560926.00
2017-09-05,675137.00
2017-09-06,719554.00
2017-09-07,600330.00
2017-09-08,718348.00
2017-09-09,642483.00
2017-09-10,672162.00
2017-09-11,703609.00
2017-09-12,690860.00
2017-09-13,720835.00
2017-09-14,726710.00
2017-09-15,703305.00
2017-09-16,607951.00
2017-09-17,556110.00
2017-09-18,673852.00
2017-09-19,691725.00
2017-09-20,695953.00
2017-09-21,701157.00
2017-09-22,693404.00
2017-09-23,624315.00
2017-09-24,584128.00
2017-09-25,675161.00
2017-09-26,708735.00
2017-09-27,701183.00
2017-09-28,708093.00
2017-09-29,700242.00
2017-09-30,624105.00
2017-10-01,787721.00
2017-10-02,769771.00
2017-10-03,690438.00
2017-10-04,653330.00
2017-10-05,673048.00
2017-10-06,652277.00
2017-10-07,716537.00
2017-10-08,690503.00
2017-10-09,569918.00
2017-10-10,694168.00
2017-10-11,714818.00
2017-10-12,636216.00
2017-10-13,646885.00
2017-10-14,612238.00
2017-10-15,577555.00
2017-10-16,675119.00
2017-10-17,686221.00
2017-10-18,686812.00
2017-10-19,685512.00
2017-10-20,672930.00
2017-10-21,607545.00
2017-10-22,557336.00
2017-10-23,665484.00
2017-10-24,682544.00
2017-10-25,693369.00
2017-10-26,694564.00
2017-10-27,685888.00
2017-10-28,604515.00
2017-10-29,571130.00
2017-10-30,663850.00
2017-10-31,671048.00
2017-11-01,784613.00
2017-11-02,695216.00
2017-11-03,614728.00
2017-11-04,657151.00
2017-11-05,680094.00
2017-11-06,604751.00
2017-11-07,751345.00
2017-11-08,677164.00
2017-11-09,674925.00
2017-11-10,694946.00
2017-11-11,636165.00
2017-11-12,772056.00
2017-11-13,710030.00
2017-11-14,731826.00
2017-11-15,746161.00
2017-11-16,744577.00
2017-11-17,739223.00
2017-11-18,655116.00
2017-11-19,607230.00
2017-11-20,726060.00
2017-11-21,746113.00
2017-11-22,752200.00
2017-11-23,751177.00
2017-11-24,733851.00
2017-11-25,659911.00
2017-11-26,619049.00
2017-11-27,749259.00
2017-11-28,771973.00
2017-11-29,783029.00
2017-11-30,792067.00
2017-12-01,767069.00
2017-12-02,638937.00
2017-12-03,571120.00
2017-12-04,644059.00
2017-12-05,668374.00
2017-12-06,736868.00
2017-12-07,771621.00
2017-12-08,629734.00
2017-12-09,711447.00
2017-12-10,590907.00
2017-12-11,585731.00
2017-12-12,800130.00
2017-12-13,805135.00
2017-12-14,795184.00
2017-12-15,787133.00
2017-12-16,704672.00
2017-12-17,653784.00
2017-12-18,785611.00
2017-12-19,810077.00
2017-12-20,801364.00
2017-12-21,783486.00
2017-12-22,764603.00
2017-12-23,672002.00
2017-12-24,627747.00
2017-12-25,545730.00
2017-12-26,674373.00
2017-12-27,717108.00
2017-12-28,702219.00
2017-12-29,681497.00
2017-12-30,609265.00
2017-12-31,589962.00
2018-01-01,535402.00
2018-01-02,780695.00
2018-01-03,787211.00
2018-01-04,578605.00
2018-01-05,547210.00
2018-01-06,670799.00
2018-01-07,607027.00
2018-01-08,767546.00
2018-01-09,678397.00
2018-01-10,690886.00
2018-01-11,610914.00
2018-01-12,675342.00
2018-01-13,720855.00
2018-01-14,679162.00
2018-01-15,800936.00
2018-01-16,797761.00
2018-01-17,788728.00
2018-01-18,786526.00
2018-01-19,777183.00
2018-01-20,691033.00
2018-01-21,631905.00
2018-01-22,736560.00
2018-01-23,757120.00
2018-01-24,756441.00
2018-01-25,768304.00
2018-01-26,777039.00
2018-01-27,708166.00
2018-01-28,655522.00
2018-01-29,768984.00
2018-01-30,776692.00
2018-01-31,775055.00
2018-02-01,688121.00
2018-02-02,795764.00
2018-02-03,772647.00
2018-02-04,634906.00
2018-02-05,664734.00
2018-02-06,603884.00
2018-02-07,726180.00
2018-02-08,793175.00
2018-02-09,632132.00
2018-02-10,693255.00
2018-02-11,655223.00
2018-02-12,621352.00
2018-02-13,807457.00
2018-02-14,803151.00
2018-02-15,784029.00
2018-02-16,760261.00
2018-02-17,682009.00
2018-02-18,641367.00
2018-02-19,758243.00
2018-02-20,768299.00
2018-02-21,780278.00
2018-02-22,784395.00
2018-02-23,790705.00
2018-02-24,714857.00
2018-02-25,656546.00
2018-02-26,770160.00
2018-02-27,805215.00
2018-02-28,788692.00
2018-03-01,726846.00
2018-03-02,716606.00
2018-03-03,687518.00
2018-03-04,705041.00
2018-03-05,683191.00
2018-03-06,553381.00
2018-03-07,737705.00
2018-03-08,810399.00
2018-03-09,761425.00
